ID,Case,choice,SP,av_walk,av_bus,av_mc,time_walk,cost_walk,Attwalk_shade,Attwalk_pavement,time_bus,cost_bus,Attbus_air,time_mc,cost_mc,Attmc_helmet,male,income
102,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,1,3
103,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,0,2
103,3,1,1,1,1,1,10,0,0,1,50,5,0,13,10,1,0,2
104,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,1,3
104,4,1,1,1,1,1,10,0,0,1,50,5,0,13,10,0,1,3
105,3,1,1,1,1,1,10,0,0,1,50,5,0,13,10,1,1,1
106,2,1,1,1,1,1,10,0,1,0,25,5,0,8,10,1,1,2
107,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,1,1
107,2,1,1,1,1,1,10,0,1,0,25,5,0,8,10,1,1,1
107,3,1,1,1,1,1,10,0,0,1,50,5,0,13,10,1,1,1
107,4,1,1,1,1,1,10,0,0,1,50,5,0,13,10,0,1,1
108,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,1,2
108,2,1,1,1,1,1,10,0,1,0,25,5,0,8,10,1,1,2
108,3,1,1,1,1,1,10,0,0,1,50,5,0,13,10,1,1,2
109,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,1,1
109,2,1,1,1,1,1,10,0,1,0,25,5,0,8,10,1,1,1
109,3,1,1,1,1,1,10,0,0,1,50,5,0,13,10,1,1,1
109,4,1,1,1,1,1,10,0,0,1,50,5,0,13,10,0,1,1
110,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,1,2
111,1,1,1,1,1,1,10,0,1,1,15,5,0,3,15,1,1,3
111,3,1,1,1,1,1,10,0,0,1,50,5,0,13,10,1,1,3
111,4,1,1,1,1,1,10,0,0,1,50,5,0,13,10,0,1,3
112,2,1,1,1,1,1,10,0,1,0,25,5,0,8,10,1,1,1
